mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.5,0.0,5,20,mse,22.464,0.5,32
0.5,0.0,5,20,mse,23.3968,0.5,32
0.8817811869399501,0.0023394674150053188,5,20,mse,30.396,0.5,32
0.8106620715281763,0.018140564578254234,5,20,mse,45.1672,0.5,32
0.673688118097868,0.018249326826987187,5,20,mse,58.1726,0.5,32
0.5,0.0,5,20,mse,22.464,0.7,32
0.5,0.0,5,20,mse,23.3968,0.7,32
0.8807721181912045,0.00587411922070823,5,20,mse,30.396,0.7,32
0.8070715181572299,0.017377663262644418,5,20,mse,45.1672,0.7,32
0.6662081371535133,0.00989279649196015,5,20,mse,58.1726,0.7,32
0.5,0.0,5,20,friedman_mse,22.464,0.1,32
0.5,0.0,5,20,friedman_mse,23.3968,0.1,32
0.8760687033163922,0.005634598476693535,5,20,friedman_mse,30.396,0.1,32
0.8141859998257527,0.021104997080567914,5,20,friedman_mse,45.1672,0.1,32
0.6746653187964828,0.017971768642586317,5,20,friedman_mse,58.1726,0.1,32
0.5,0.0,5,20,friedman_mse,22.464,0.2,32
0.5,0.0,5,20,friedman_mse,23.3968,0.2,32
0.8786004131830495,0.004032687702463979,5,20,friedman_mse,30.396,0.2,32
0.8082728448878109,0.021143683656836484,5,20,friedman_mse,45.1672,0.2,32
0.6770627528034365,0.016341146664930636,5,20,friedman_mse,58.1726,0.2,32
0.5,0.0,5,20,friedman_mse,22.464,0.5,32
0.5,0.0,5,20,friedman_mse,23.3968,0.5,32
0.8805776535662322,0.003678413594652198,5,20,friedman_mse,30.396,0.5,32
0.8137484483588459,0.012025680615279402,5,20,friedman_mse,45.1672,0.5,32
0.6671961196590059,0.013784142075748037,5,20,friedman_mse,58.1726,0.5,32
0.5,0.0,5,20,friedman_mse,22.464,0.7,32
0.5,0.0,5,20,friedman_mse,23.3968,0.7,32
0.8813399436477536,0.003587796008655932,5,20,friedman_mse,30.396,0.7,32
0.8068819102551241,0.020369118896692885,5,20,friedman_mse,45.1672,0.7,32
0.672447338138777,0.023363397093591608,5,20,friedman_mse,58.1726,0.7,32
0.5,0.0,5,50,mse,22.464,0.1,32
0.5,0.0,5,50,mse,23.3968,0.1,32
0.8707247985022972,0.0058663635807304085,5,50,mse,30.396,0.1,32
0.7885174587125394,0.03439672551658359,5,50,mse,45.1672,0.1,32
0.6628652655498869,0.018509346182519565,5,50,mse,58.1726,0.1,32
0.5,0.0,5,50,mse,22.464,0.2,32
0.5,0.0,5,50,mse,23.3968,0.2,32
0.8774370069768066,0.004833292641351685,5,50,mse,30.396,0.2,32
0.8070707827260956,0.021334854094921054,5,50,mse,45.1672,0.2,32
0.6737357181756021,0.01269185781140514,5,50,mse,58.1726,0.2,32
0.5,0.0,5,50,mse,22.464,0.5,32
0.5,0.0,5,50,mse,23.3968,0.5,32
0.8794490327188289,0.0038901925911421858,5,50,mse,30.396,0.5,32
0.8110981928736545,0.014936046608183791,5,50,mse,45.1672,0.5,32
0.6729671668688127,0.016680768364562053,5,50,mse,58.1726,0.5,32
0.5,0.0,5,50,mse,22.464,0.7,32
0.5,0.0,5,50,mse,23.3968,0.7,32
0.8804630167021653,0.004374468620274308,5,50,mse,30.396,0.7,32
0.8067624308013206,0.02033328501500683,5,50,mse,45.1672,0.7,32
0.662413586657969,0.008877455326110182,5,50,mse,58.1726,0.7,32
0.5,0.0,5,50,friedman_mse,22.464,0.1,32
0.5,0.0,5,50,friedman_mse,23.3968,0.1,32
0.8716568956879843,0.005478070453434953,5,50,friedman_mse,30.396,0.1,32
0.794339269326476,0.020153729210178342,5,50,friedman_mse,45.1672,0.1,32
0.6639590814763563,0.02578171541334843,5,50,friedman_mse,58.1726,0.1,32
0.5,0.0,5,50,friedman_mse,22.464,0.2,32
0.5,0.0,5,50,friedman_mse,23.3968,0.2,32
0.8788567017544455,0.00437304673941073,5,50,friedman_mse,30.396,0.2,32
0.8042171200591165,0.02210277481385982,5,50,friedman_mse,45.1672,0.2,32
0.6773583518362443,0.015494640116104672,5,50,friedman_mse,58.1726,0.2,32
0.5,0.0,5,50,friedman_mse,22.464,0.5,32
0.5,0.0,5,50,friedman_mse,23.3968,0.5,32
0.881824258529244,0.0029487728520075484,5,50,friedman_mse,30.396,0.5,32
0.8090143597683689,0.018990102168174792,5,50,friedman_mse,45.1672,0.5,32
0.6742279761674921,0.015854284880043184,5,50,friedman_mse,58.1726,0.5,32
0.5,0.0,5,50,friedman_mse,22.464,0.7,32
0.5,0.0,5,50,friedman_mse,23.3968,0.7,32
0.8819521963252029,0.005437136028390947,5,50,friedman_mse,30.396,0.7,32
0.8121602799792124,0.013083507607394195,5,50,friedman_mse,45.1672,0.7,32
0.6661140176851362,0.011161593047546844,5,50,friedman_mse,58.1726,0.7,32
0.5,0.0,5,100,mse,22.464,0.1,32
0.5,0.0,5,100,mse,23.3968,0.1,32
0.8744704271510069,0.0030612644191087947,5,100,mse,30.396,0.1,32
0.7878884491090314,0.030218776300016213,5,100,mse,45.1672,0.1,32
0.670379902758564,0.020180113262399522,5,100,mse,58.1726,0.1,32
0.5,0.0,5,100,mse,22.464,0.2,32
0.5,0.0,5,100,mse,23.3968,0.2,32
0.8747518586163967,0.005075178465483555,5,100,mse,30.396,0.2,32
0.7917043903154715,0.02361189713407788,5,100,mse,45.1672,0.2,32
0.6700438409172758,0.015749002500344823,5,100,mse,58.1726,0.2,32
