max_depth,min_samples_split,criterion,n_options,training_size,threshold,gap,mean
8,2,mse,9468,0.8,21436619,half_mean,0.5
8,2,mse,9468,0.8,21436619,half_mean,0.5
8,2,mse,9468,0.8,21436619,quarter_mean,0.6714792771396763
8,2,mse,9468,0.8,21436619,quarter_mean,0.6735525299735826
8,2,mse,9468,0.8,21436619,quarter_mean,0.6715031465836272
8,2,mse,9468,0.8,21436619,quarter_mean,0.6697265736584999
8,2,mse,9468,0.8,21436619,quarter_mean,0.6738021867214304
8,2,mse,9468,0.8,31443996,max,0.4998224121483187
8,2,mse,9468,0.8,31443996,max,0.4999997374034538
8,2,mse,9468,0.8,31443996,max,0.4994645165943718
8,2,mse,9468,0.8,31443996,max,0.4997314508391175
8,2,mse,9468,0.8,31443996,max,0.5000152315304679
8,2,mse,9468,0.8,31443996,mean,0.7713235211391022
8,2,mse,9468,0.8,31443996,mean,0.7813891105203741
8,2,mse,9468,0.8,31443996,mean,0.8092273781650691
8,2,mse,9468,0.8,31443996,mean,0.80896229476015
8,2,mse,9468,0.8,31443996,mean,0.8072805630171251
8,2,mse,9468,0.8,31443996,half_mean,0.8680973412162529
8,2,mse,9468,0.8,31443996,half_mean,0.8752015691088986
8,2,mse,9468,0.8,31443996,half_mean,0.8696439288032674
8,2,mse,9468,0.8,31443996,half_mean,0.8734520256010376
8,2,mse,9468,0.8,31443996,half_mean,0.7814920237668833
8,2,mse,9468,0.8,31443996,quarter_mean,0.8843302169660902
8,2,mse,9468,0.8,31443996,quarter_mean,0.8856427923155865
8,2,mse,9468,0.8,31443996,quarter_mean,0.8840380217405488
8,2,mse,9468,0.8,31443996,quarter_mean,0.8832956861379346
8,2,mse,9468,0.8,31443996,quarter_mean,0.8928477944200965
8,2,mse,9468,0.8,54346448,max,0.8797521958487131
8,2,mse,9468,0.8,54346448,max,0.8717174868272968
8,2,mse,9468,0.8,54346448,max,0.8662633208286797
8,2,mse,9468,0.8,54346448,max,0.8649453677922219
8,2,mse,9468,0.8,54346448,max,0.8581401132261595
8,2,mse,9468,0.8,54346448,mean,0.9352312415210079
8,2,mse,9468,0.8,54346448,mean,0.9372732372543028
8,2,mse,9468,0.8,54346448,mean,0.935770118278136
8,2,mse,9468,0.8,54346448,mean,0.9340686196650628
8,2,mse,9468,0.8,54346448,mean,0.9343854152995928
8,2,mse,9468,0.8,54346448,half_mean,0.9367036091286682
8,2,mse,9468,0.8,54346448,half_mean,0.9317446589051224
8,2,mse,9468,0.8,54346448,half_mean,0.9343377032031428
8,2,mse,9468,0.8,54346448,half_mean,0.9347556068653906
8,2,mse,9468,0.8,54346448,half_mean,0.9348746547844508
8,2,mse,9468,0.8,54346448,quarter_mean,0.9348722798536468
8,2,mse,9468,0.8,54346448,quarter_mean,0.9313151675830936
8,2,mse,9468,0.8,54346448,quarter_mean,0.9303451658797623
8,2,mse,9468,0.8,54346448,quarter_mean,0.9349124159140396
8,2,mse,9468,0.8,54346448,quarter_mean,0.9289829478264064
